plz,city,cityaddition,district,street
01067,Dresden,,Friedrichstadt,Adlergasse
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Alfred-Althus-Str.
01067,Dresden,,Innere Altstadt,Altmarkt
01067,Dresden,,Friedrichstadt,Am Bramschkontor
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Am Queckbrunnen
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Am Schießhaus
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Am See
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Am Zwingerteich
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Ammonstr.
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Ammonstr.
01067,Dresden,,Innere Altstadt,An der Frauenkirche
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,An der Herzogin Garten
01067,Dresden,,Innere Altstadt,An der Kreuzkirche
01067,Dresden,,Innere Altstadt,An der Mauer
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Annenstr.
01067,Dresden,,Innere Altstadt,Antonsplatz
01067,Dresden,,Innere Altstadt,Augustusstr.
01067,Dresden,,Friedrichstadt,Behringstr.
01067,Dresden,,Friedrichstadt,Behringstr.
01067,Dresden,,Friedrichstadt,Berliner Str.
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Bernhard-von-Lindenau-Platz
01067,Dresden,,Friedrichstadt,Bremer Str.
01067,Dresden,,Friedrichstadt,Bräuergasse
01067,Dresden,,Innere Altstadt,Brühlsche Gasse
01067,Dresden,,Innere Altstadt,Brühlsche Terrasse
01067,Dresden,,Innere Altstadt,Brühlscher Garten
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Devrientstr.
01067,Dresden,,Innere Altstadt,Dr.-Külz-Ring
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Ehrlichstr.
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Ermischstr.
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Falkenstr.
01067,Dresden,,Wilsdruffer Vorstadt/Seevorstadt-West,Feigengasse
01067,Dresden,,Innere Altstadt,Frauenstr.
